Lemma,Part of Speech Code,Full Citation Form,BDAG Entry,Danker Entry,Dodson Entry,Mounce Entry,Strongs,GK,Dodson Part of Speech Code,Gloss,Mounce MorphCat,root,verbs,Part of Speech
σπαταλάω,V,,σπαταλάω,σπαταλάω,σπαταλάω,σπαταλάω,4684,5059,V,I live extravagantly,v-1d(1a),,,Verb
σπεῖρα,N,"σπεῖρα, ης, ἡ",σπεῖρα,"σπεῖρα, ης, ἡ","σπεῖρα, ης, ἡ",σπεῖρα,4686,5061,N:F,a cohort,n-1c,,,Noun
σπείρω,V,,σπείρω,σπείρω,σπείρω,σπείρω,4687,5062,V,"I sow, spread, scatter",v-2d(3),*σπείρ/*σπερ,"-, ἔσπειρα, -, ἔσπαρμαι, ἐσπάρην",Verb
σπεκουλάτωρ,N,"σπεκουλάτωρ, ορος, ὁ",σπεκουλάτωρ,"σπεκουλάτωρ, ορος, ὁ","σπεκουλάτωρ, ορος, ὁ",σπεκουλάτωρ,4688,5063,N:M,"a body-guardsman, an executioner",n-3f(2b),,,Noun
σπένδομαι,V,,σπένδω,σπένδω,σπένδω,σπένδω,4689,5064,V,I pour out as a libation,v-1b(3),,,Verb
σπέρμα,N,"σπέρμα, ατος, τό",σπέρμα,"σπέρμα, ατος, τό","σπέρμα, ατος, τό",σπέρμα,4690,5065,N:N,"seed, offspring",n-3c(4),,,Noun
σπερμολόγος,A,"σπερμολόγος, ου, ὁ",σπερμολόγος,"σπερμολόγος, ου, ὁ","σπερμολόγος, ου, ὁ",σπερμολόγος,4691,5066,A,a babbler,a-3a,,,Adjective
σπεύδω,V,,σπεύδω,σπεύδω,σπεύδω,σπεύδω,4692,5067,V,"I hasten, desire earnestly",v-1b(3),,,Verb
σπήλαιον,N,"σπήλαιον, ου, τό",σπήλαιον,"σπήλαιον, ου, τό","σπήλαιον, ου, τό",σπήλαιον,4693,5068,N:N,"a cave, den",n-2c,,,Noun
σπιλάς,N,"σπιλάς, άδος, ἡ",σπιλάς,"σπιλάς, άδος, ἡ","σπιλάς, άδος, ἡ",σπιλάς,4694,5069,N:F,"a hidden rock, false teacher",n-3c(2),,,Noun
σπίλος,N,"σπίλος, ου, ὁ",σπίλος,"σπίλος, ου, ὁ","σπῖλος, ου, ὁ",σπίλος,4696,5070,N:M,"a spot, fault",n-2a,,,Noun
σπιλόω,V,,σπιλόω,σπιλόω,σπιλόω,σπιλόω,4695,5071,V,"I defile, spot",v-1d(3),,,Verb
σπλαγχνίζομαι,V,,σπλαγχνίζομαι,σπλαγχνίζομαι,σπλαγχνίζομαι,σπλαγχνίζομαι,4697,5072,V,I have pity on,v-2a(1),,,Verb
σπλάγχνον,N,"σπλάγχνον, ου, τό",σπλάγχνον,"σπλάγχνον, ου, τό","σπλάγχνα, ων, τά",σπλάγχνον,4698,5073,N:N,"bowels, compassion, pity",n-2c,,,Noun
σπόγγος,N,"σπόγγος, ου, ὁ",σπόγγος,"σπόγγος, ου, ὁ","σπόγγος, ου, ὁ",σπόγγος,4699,5074,N:M,a sponge,n-2a,,,Noun
σποδός,N,"σποδός, οῦ, ἡ",σποδός,"σποδός, οῦ, ἡ","σποδός, οῦ, ἡ",σποδός,4700,5075,N:F,ashes,n-2b,,,Noun
σπορά,N,"σπορά, ᾶς, ἡ",σπορά,"σπορά, ᾶς, ἡ","σπορά, ᾶς, ἡ",σπορά,4701,5076,N:F,seed,n-1a,,,Noun
σπόριμος,A,"σπόριμος, ον",σπόριμος,"σπόριμος, ον","σπόριμος, ον",σπόριμος,4702,5077,A,"sown, sown fields",a-3a,,,Adjective
σπόρος,N,"σπόρος, ου, ὁ",σπόρος,"σπόρος, ου, ὁ","σπόρος, ου, ὁ",σπόρος,4703,5078,N:M,seed for sowing,n-2a,,,Noun
σπουδάζω,V,,σπουδάζω,σπουδάζω,σπουδάζω,σπουδάζω,4704,5079,V,I hasten,v-2a(1),,,Verb
σπουδαῖος,A,"σπουδαῖος, α, ον",σπουδαῖος,"σπουδαῖος, α, ον","σπουδαῖος, α, ον",σπουδαῖος,4705,5080,A,"diligent, earnest",a-1a(1),,,Adjective
σπουδαίως,D,,σπουδαίως,σπουδαίως,σπουδαίως,σπουδαίως,4709,5081,ADV,"diligently, earnestly",adverb,,,Adverb
σπουδή,N,"σπουδή, ῆς, ἡ",σπουδή,"σπουδή, ῆς, ἡ","σπουδή, ῆς, ἡ",σπουδή,4710,5082,N:F,"haste, diligence",n-1b,,,Noun
σπυρίς,N,"σπυρίς, ίδος, ἡ",σπυρίς,"σπυρίς, ίδος, ἡ","σπυρίς, ίδος, ἡ",σπυρίς,4711,5083,N:F,a plaited basket,n-3c(2),,,Noun
στάδιον,N,"στάδιον, ου, τό",στάδιον,"στάδιον, ου, τό","στάδιον, ου, τό",στάδιον,4712,5084,"N:M,N:N",one eighth of a Roman mile,n-2c,,,Noun
στάδιος,N,"στάδιος, ου, ὁ",,,,,,,,,,,,Noun
στάμνος,N,"στάμνος, ου, ὁ/ἡ",στάμνος,"στάμνος, ου, ὁ /ἡ","στάμνος, ου, ὁ, ἡ",στάμνος,4713,5085,N:F,a jar or vase,n-2a,,,Noun
στασιαστής,N,"στασιαστής, οῦ, ὁ",στασιαστής,"στασιαστής, οῦ, ὁ",,στασιαστής,,5086,,,n-1f,,,Noun
στάσις,N,"στάσις, εως, ἡ",στάσις,"στάσις, εως, ἡ","στάσις, εως, ἡ",στάσις,4714,5087,N:F,"standing, place, dissension",n-3e(5b),,,Noun
στατήρ,N,"στατήρ, ῆρος, ὁ",στατήρ,"στατήρ, ῆρος, ὁ","στατήρ, ῆρος, ὁ",στατήρ,4715,5088,N:M,a Jewish shekel,n-3f(2a),,,Noun
σταυρός,N,"σταυρός, οῦ, ὁ",σταυρός,"σταυρός, οῦ, ὁ","σταυρός, οῦ, ὁ",σταυρός,4716,5089,N:M,a cross,n-2a,,,Noun
σταυρόω,V,,σταυρόω,σταυρόω,σταυρόω,σταυρόω,4717,5090,V,I crucify,v-1d(3),*σταυρο,"σταυρώσω, ἐσταύρωσα, -, ἐσταύρωμαι, ἐσταυρώθην",Verb
σταφυλή,N,"σταφυλή, ῆς, ἡ",σταφυλή,"σταφυλή, ῆς, ἡ","σταφυλή, ῆς, ἡ",σταφυλή,4718,5091,N:F,"a grape, cluster of grapes",n-1b,,,Noun
στάχυς,N,"στάχυς, υος, ὁ",στάχυς,"στάχυς, υος, ὁ","στάχυς, υος, ὁ",στάχυς,4719,5092,N:M,a head of grain,n-1b,,,Noun
Στάχυς,N,"Στάχυς, υος, ὁ",Στάχυς,"Στάχυς, υος, ὁ","Στάχυς, υος, ὁ",Στάχυς,4720,5093,N:M,Stachys,n-3e(1),,,Noun
στέγη,N,"στέγη, ης, ἡ",στέγη,"στέγη, ης, ἡ","στέγη, ης, ἡ",στέγη,4721,5094,N:F,a flat roof of a house,n-1b,,,Noun
στέγω,V,,στέγω,στέγω,στέγω,στέγω,4722,5095,V,"I cover, conceal, bear with",v-1b(2),,,Verb
στεῖρα,A/N,"στεῖρα, ας, ἡ",στεῖρα,"στεῖρα, ας, ἡ","στεῖρος, α, ον",στεῖρα,4723,5096,N:F,barren,n-1a,,,Adjective
στέλλομαι,V,,στέλλω,στέλλω,στέλλω,στέλλω,4724,5097,V,"I arrange, take care, withdraw from",v-2d(1),,,Verb
στέμμα,N,"στέμμα, ατος, τό",στέμμα,"στέμμα, ατος, τό","στέμμα, ατος, τό",στέμμα,4725,5098,N:N,a garland,n-3c(4),,,Noun
στεναγμός,N,"στεναγμός, οῦ, ὁ",στεναγμός,"στεναγμός, οῦ, ὁ","στεναγμός, οῦ, ὁ",στεναγμός,4726,5099,N:M,a groaning,n-2a,,,Noun
στενάζω,V,,στενάζω,στενάζω,στενάζω,στενάζω,4727,5100,V,I groan,v-2a(2),,,Verb
στενός,A,"στενός, ή, όν",στενός,"στενός, ή, όν","στενός, ή, όν",στενός,4728,5101,A,narrow,a-1a(2a),,,Adjective
στενοχωρέομαι,V,,στενοχωρέω,στενοχωρέω,στενοχωρέω,στενοχωρέω,4729,5102,V,"I press upon, cramp, restrain",cv-1d(2a),,,Verb
στενοχωρία,N,"στενοχωρία, ας, ἡ",στενοχωρία,"στενοχωρία, ας, ἡ","στενοχωρία, ας, ἡ",στενοχωρία,4730,5103,N:F,"a narrow space, great distress",n-1a,,,Noun
στερεός,A,"στερεός, ά, όν",στερεός,"στερεός, ά, όν","στερεός, ά, όν",στερεός,4731,5104,A,"solid, firm, steadfast",a-1a(1),,,Adjective
στερεόω,V,,στερεόω,στερεόω,στερεόω,στερεόω,4732,5105,V,"I strengthen, confirm, establish",v-1d(3),,,Verb
στερέωμα,N,"στερέωμα, ατος, τό",στερέωμα,"στερέωμα, ατος, τό","στερέωμα, ατος, τό",στερέωμα,4733,5106,N:N,"firmness, steadfastness",n-3c(4),,,Noun
Στεφανᾶς,N,"Στεφανᾶς, ᾶ, ὁ",Στεφανᾶς,"Στεφανᾶς, ᾶ, ὁ","Στεφανᾶς, ᾶ, ὁ",Στεφανᾶς,4734,5107,N:M,Stephanas,n-1e,,,Noun
στέφανος,N,"στέφανος, ου, ὁ",στέφανος,"στέφανος, ου, ὁ","στέφανος, ου, ὁ",στέφανος,4735,5109,N:M,"a crown, garland",n-2a,,,Noun
Στέφανος,N,"Στέφανος, ου, ὁ",Στέφανος,"Στέφανος, ου, ὁ","Στέφανος, ου, ὁ",Στέφανος,4736,5108,N:M,Stephen,n-2a,,,Noun
στεφανόω,V,,στεφανόω,στεφανόω,στεφανόω,στεφανόω,4737,5110,V,"I crown, adorn",v-1d(3),,,Verb
στῆθος,N,"στῆθος, ους, τό",στῆθος,"στῆθος, ους, τό","στῆθος, ους, τό",στῆθος,4738,5111,N:N,the breast,n-3d(2b),,,Noun
στήκω,V,,στήκω,στήκω,στήκω,στήκω,4739,5112,V,"I stand fast, persevere",v-1b(2),,,Verb
στηριγμός,N,"στηριγμός, οῦ, ὁ",στηριγμός,"στηριγμός, οῦ, ὁ","στηριγμός, οῦ, ὁ",στηριγμός,4740,5113,N:M,"firmness, steadfastness",n-2a,,,Noun
στηρίζω,V,,στηρίζω,στηρίζω,στηρίζω,στηρίζω,4741,5114,V,"I fix firmly, strengthen",v-2a(2),,,Verb
στιβάς,N,"στιβάς, άδος, ἡ",στιβάς,"στιβάς, άδος, ἡ",,στιβάς,,5115,,,n-3c(2),,,Noun
στίγμα,N,"στίγμα, ατος, τό",στίγμα,"στίγμα, ατος, τό","στίγμα, ατος, τό",στίγμα,4742,5116,N:N,a mark or brand,n-3c(4),,,Noun
στιγμή,N,"στιγμή, ῆς, ἡ",στιγμή,"στιγμή, ῆς, ἡ","στιγμή, ῆς, ἡ",στιγμή,4743,5117,N:F,"a point of time, an instant",n-1b,,,Noun
στίλβω,V,,στίλβω,στίλβω,στίλβω,στίλβω,4744,5118,V,"I shine, glisten, flash",v-1b(1),,,Verb
στοά,N,"στοά, ᾶς, ἡ",στοά,"στοά, ᾶς, ἡ","στοά, ᾶς, ἡ",στοά,4745,5119,N:F,"a colonnade, portico",n-1a,,,Noun
Στοά,N,"Στοά, ᾶς, ἡ",στοά,"στοά, ᾶς, ἡ","στοά, ᾶς, ἡ",στοά,4745,5119,N:F,"a colonnade, portico",n-1a,,,Noun
Στοϊκός,A,"Στοϊκός, ή, όν",Στοϊκός,"Στοϊκός, ή, όν","Στωϊκός, ή, όν",Στοϊκός,4770,5121,A,Stoic,a-1a(2a),,,Adjective
στοιχεῖον,N,"στοιχεῖον, ου, τό",στοιχεῖον,"στοιχεῖον, ου, τό","στοιχεῖον, ου, τό",στοιχεῖον,4747,5122,N:N,"a heavenly body, an element",n-2c,,,Noun
στοιχέω,V,,στοιχέω,στοιχέω,στοιχέω,στοιχέω,4748,5123,V,I walk,v-1d(2a),,,Verb
στολή,N,"στολή, ῆς, ἡ",στολή,"στολή, ῆς, ἡ","στολή, ῆς, ἡ",στολή,4749,5124,N:F,a long robe,n-1b,,,Noun
στόμα,N,"στόμα, ατος, τό",στόμα,"στόμα, ατος, τό","στόμα, ατος, τό",στόμα,4750,5125,N:N,"the mouth, speech",n-3c(4),,,Noun
στόμαχος,N,"στόμαχος, ου, ὁ",στόμαχος,"στόμαχος, ου, ὁ","στόμαχος, ου, ὁ",στόμαχος,4751,5126,N:M,the stomach,n-2a,,,Noun
στρατεία,N,"στρατεία, ας, ἡ",στρατεία,"στρατεία, ας, ἡ","στρατεία, ας, ἡ",στρατεία,4752,5127,N:F,"warfare, military service",n-1a,,,Noun
στράτευμα,N,"στράτευμα, ατος, τό",στράτευμα,"στράτευμα, ατος, τό","στράτευμα, ατος, τό",στράτευμα,4753,5128,N:N,an army,n-3c(4),,,Noun
στρατεύομαι,V,,στρατεύω,στρατεύω,στρατεύομαι,στρατεύομαι,4754,5129,V,"I wage war, fight",v-1a(6),,,Verb
στρατηγός,N,"στρατηγός, οῦ, ὁ",στρατηγός,"στρατηγός, οῦ, ὁ","στρατηγός, οῦ, ὁ",στρατηγός,4755,5130,N:M,"a general, magistrate, captain of the temple",n-2a,,,Noun
στρατιά,N,"στρατιά, ᾶς, ἡ",στρατιά,"στρατιά, ᾶς, ἡ","στρατιά, ᾶς, ἡ",στρατιά,4756,5131,N:F,"an army, host of angels",n-1a,,,Noun
στρατιώτης,N,"στρατιώτης, ου, ὁ",στρατιώτης,"στρατιώτης, ου, ὁ","στρατιώτης, ου, ὁ",στρατιώτης,4757,5132,N:M,a soldier,n-1f,,,Noun
στρατολογέω,V,,στρατολογέω,στρατολογέω,στρατολογέω,στρατολογέω,4758,5133,V,I enlist troops,v-1d(2a),,,Verb
στρατόπεδον,N,"στρατόπεδον, ου, τό",στρατόπεδον,"στρατόπεδον, ου, τό","στρατόπεδον, ου, τό",στρατόπεδον,4760,5136,N:N,an encamped army,n-2c,,,Noun
στρεβλόω,V,,στρεβλόω,στρεβλόω,στρεβλόω,στρεβλόω,4761,5137,V,"I rack, pervert, twist",v-1d(3),,,Verb
στρέφω,V,,στρέφω,στρέφω,στρέφω,στρέφω,4762,5138,V,"I turn, am converted, change",v-1b(1),,,Verb
στρηνιάω,V,,στρηνιάω,στρηνιάω,στρηνιάω,στρηνιάω,4763,5139,V,I live luxuriously,v-1d(1b),,,Verb
στρῆνος,N,"στρῆνος, ους, τό",στρῆνος,"στρῆνος, ους, τό","στρῆνος, ους, τό",στρῆνος,4764,5140,N:N,"wantonness, luxury",n-3d(2b),,,Noun
στρουθίον,N,"στρουθίον, ου, τό",στρουθίον,"στρουθίον, ου, τό","στρουθίον, ου, τό",στρουθίον,4765,5141,N:N,"a small bird, sparrow",n-2c,,,Noun
στρώννυμι,V,,στρωννύω,στρωννύω/στρώννυμι,στρωννύω,στρώννυμι,4766,5142,V,"I spread, make a bed",v-3c(1),,,Verb
στυγητός,A,"στυγητός, ή, όν",στυγητός,"στυγητός, ή, όν","στυγητός, ή, όν",στυγητός,4767,5144,A,"hateful, detestable",a-1a(2a),,,Adjective
στυγνάζω,V,,στυγνάζω,στυγνάζω,στυγνάζω,στυγνάζω,4768,5145,V,I am gloomy,v-2a(1),,,Verb
στῦλος,N,"στῦλος, ου, ὁ",στῦλος,"στῦλος, ου, ὁ","στῦλος, ου, ὁ",στῦλος,4769,5146,N:M,a pillar,n-2a,,,Noun
σύ,RP2,,σύ,σύ,"σύ, σοῦ, σοί, σέ",σύ,4771,5148,P,you,a-5,,,Pronoun - Personal
συγγένεια,N,"συγγένεια, ας, ἡ",συγγένεια,"συγγένεια, ας, ἡ","συγγένεια, ας, ἡ",συγγένεια,4772,5149,N:F,"kindred, family",n-1a,,,Noun
συγγενής,A,"συγγενής, ές",συγγενής,"συγγενής, ές","συγγενής, ές",συγγενής,4773,5150,A,"akin, a relative",a-4a,,,Adjective
συγγενίς,N,"συγγενίς, ίδος, ἡ",συγγενίς,"συγγενίς, ίδος, ἡ","συγγενής, ές",συγγενίς,4773,5151,A,"akin, a relative",n-3c(2),,,Noun
συγγνώμη,N,"συγγνώμη, ης, ἡ",συγγνώμη,"συγγνώμη, ης, ἡ","συγγνώμη, ης, ἡ",συγγνώμη,4774,5152,N:F,"permission, indulgence",n-1b,,,Noun
συγκάθημαι,V,,συγκάθημαι,συγκάθημαι,συγκάθημαι,συγκάθημαι,4775,5153,V,I sit with,cv-6b,,,Verb
συγκαθίζω,V,,συγκαθίζω,συγκαθίζω,συγκαθίζω,συγκαθίζω,4776,5154,V,"I cause to sit down with, sit down together",cv-2a(1),,,Verb
συγκακοπαθέω,V,,συγκακοπαθέω,συγκακοπαθέω,συγκακοπαθέω,συγκακοπαθέω,4777,5155,V,I suffer hardships together with,cv-1d(2a),,,Verb
συγκακουχέομαι,V,,συγκακουχέομαι,συγκακουχέομαι,συγκακουχέω,συγκακουχέομαι,4778,5156,V,I suffer ill-treatment with,cv-1d(2a),,,Verb
συγκαλέω,V,,συγκαλέω,συγκαλέω,συγκαλέω,συγκαλέω,4779,5157,V,I call together,cv-1d(2b),,,Verb
συγκαλύπτω,V,,συγκαλύπτω,συγκαλύπτω,συγκαλύπτω,συγκαλύπτω,4780,5158,V,"I conceal closely, cover up wholly",cv-4,,,Verb
συγκάμπτω,V,,συγκάμπτω,συγκάμπτω,συγκάμπτω,συγκάμπτω,4781,5159,V,"I oppress, bend together",cv-4,,,Verb
συγκαταβαίνω,V,,συγκαταβαίνω,συγκαταβαίνω,συγκαταβαίνω,συγκαταβαίνω,4782,5160,V,I go down with,cv-2d(6),,,Verb
συγκατάθεσις,N,"συγκατάθεσις, εως, ἡ",συγκατάθεσις,"συγκατάθεσις, εως, ἡ","συγκατάθεσις, εως, ἡ",συγκατάθεσις,4783,5161,N:F,"assent, agreement",n-3e(5b),,,Noun
συγκατατίθεμαι,V,,συγκατατίθημι,συγκατατίθημι,συγκατατίθημι,συγκατατίθημι,4784,5163,V,"I give a vote with, assent to",cv-6a,,,Verb
συγκαταψηφίζομαι,V,,συγκαταψηφίζομαι,συγκαταψηφίζομαι,συγκαταψηφίζω,συγκαταψηφίζομαι,4785,5164,V,I am voted or classed with,cv-2a(1),,,Verb
συγκεράννυμι,V,,συγκεράννυμι,συγκεράννυμι,συγκεράννυμι,συγκεράννυμι,4786,5166,V,"I mix with, unite",cv-3c(1),,,Verb
συγκινέω,V,,συγκινέω,συγκινέω,συγκινέω,συγκινέω,4787,5167,V,"I move together, stir up",cv-1d(2a),,,Verb
συγκλείω,V,,συγκλείω,συγκλείω,συγκλείω,συγκλείω,4788,5168,V,"I enclose, shut in",cv-1a(3),,,Verb
συγκληρονόμος,A,"συγκληρονόμος, ον",συγκληρονόμος,"συγκληρονόμος, ον","συγκληρονόμος, ου, ὁ, ἡ",συγκληρονόμος,4789,5169,A,"a joint heir, participant",a-3a,,,Adjective
συγκοινωνέω,V,,συγκοινωνέω,συγκοινωνέω,συγκοινωνέω,συγκοινωνέω,4790,5170,V,I have fellowship with,cv-1d(2a),,,Verb
συγκοινωνός,N,"συγκοινωνός, οῦ, ὁ",συγκοινωνός,"συγκοινωνός, οῦ, ὁ","συγκοινωνός, ου, ὁ, ἡ",συγκοινωνός,4791,5171,N:M,"a partaker with, co-partner",n-2a,,,Noun
συγκομίζω,V,,συγκομίζω,συγκομίζω,συγκομίζω,συγκομίζω,4792,5172,V,I bear away together with,cv-2a(1),,,Verb
συγκρίνω,V,,συγκρίνω,συγκρίνω,συγκρίνω,συγκρίνω,4793,5173,V,"I combine, compare",cv-1c(2),,,Verb
συγκύπτω,V,,συγκύπτω,συγκύπτω,συγκύπτω,συγκύπτω,4794,5174,V,I am bent double,cv-4,,,Verb
συγκυρία,N,"συγκυρία, ας, ἡ",συγκυρία,"συγκυρία, ας, ἡ","συγκυρία, ας, ἡ",συγκυρία,4795,5175,N:F,"a coincidence, accident, chance",n-1a,,,Noun
συγχαίρω,V,,συγχαίρω,συγχαίρω,συγχαίρω,συγχαίρω,4796,5176,V,I rejoice with,cv-2d(2),,,Verb
συγχέω,V,,συγχέω,συγχέω/συγχύν(ν)ω,συγχέω,συγχέω,4797,5177,V,"I bewilder, stir up",cv-1a(7),,,Verb
συγχράομαι,V,,συγχράομαι,συγχράομαι,συγχράομαι,συγχράομαι,4798,5178,V,I have dealings with,cv-1d(1a),,,Verb
σύγχυσις,N,"σύγχυσις, εως, ἡ",σύγχυσις,"σύγχυσις, εως, ἡ","σύγχυσις, εως, ἡ",σύγχυσις,4799,5180,N:F,"confusion, disturbance",n-3e(5b),,,Noun
συζάω,V,,συζάω,συζάω,συζάω,συζάω,4800,5182,V,I live together with,cv-1d(1a),,,Verb
συζεύγνυμι,V,,συζεύγνυμι,συζεύγνυμι,συζεύγνυμι,συζεύγνυμι,4801,5183,V,I unite,cv-3c(2),,,Verb
συζητέω,V,,συζητέω,συζητέω,συζητέω,συζητέω,4802,5184,V,"I seek together, discuss, dispute",cv-1d(2a),,,Verb
συζητητής,N,"συζητητής, οῦ, ὁ",συζητητής,"συζητητής, οῦ, ὁ","συζητητής, οῦ, ὁ",συζητητής,4804,5186,N:M,a disputer,n-1f,,,Noun
σύζυγος,A,"σύζυγος, ου, ὁ",σύζυγος,"σύζυγος, ου, ὁ","σύζυγος, ου, ὁ",σύζυγος,4805,5187,A,"a yoke-fellow, colleague",n-2a,,,Adjective
συζωοποιέω,V,,συζωοποιέω,συζωοποιέω,συζωοποιέω,συζωοποιέω,4806,5188,V,I make alive together with,cv-1d(2a),,,Verb
συκάμινος,N,"συκάμινος, ου, ἡ",συκάμινος,"συκάμινος, ου, ἡ","συκάμινος, ου, ἡ",συκάμινος,4807,5189,N:F,a sycamore tree,n-2b,,,Noun
συκῆ,N,"συκῆ, ῆς, ἡ",συκῆ,"συκῆ, ῆς, ἡ","συκῆ, ῆς, ἡ",συκῆ,4808,5190,N:F,a fig-tree,n-1h,,,Noun
συκομορέα,N,"συκομορέα, ας, ἡ",συκομορέα,"συκομορέα, ας, ἡ","συκομωραία, ας, ἡ",συκομορέα,4809,5191,N:F,a sycamore tree,n-1a,,,Noun
σῦκον,N,"σῦκον, ου, τό",σῦκον,"σῦκον, ου, τό","σῦκον, ου, τό",σῦκον,4810,5192,N:N,a fig,n-2c,,,Noun
συκοφαντέω,V,,συκοφαντέω,συκοφαντέω,συκοφαντέω,συκοφαντέω,4811,5193,V,"I accuse falsely, defraud",v-1d(2a),,,Verb
συλαγωγέω,V,,συλαγωγέω,συλαγωγέω,συλαγωγέω,συλαγωγέω,4812,5194,V,I plunder,cv-1d(2a),,,Verb
συλάω,V,,συλάω,συλάω,συλάω,συλάω,4813,5195,V,"I rob, plunder",v-1d(1a),,,Verb
συλλαλέω,V,,συλλαλέω,συλλαλέω,συλλαλέω,συλλαλέω,4814,5196,V,I talk with,cv-1d(2a),,,Verb
συλλαμβάνω,V,,συλλαμβάνω,συλλαμβάνω,συλλαμβάνω,συλλαμβάνω,4815,5197,V,"I seize, apprehend, become pregnant",cv-3a(2b),,,Verb
συλλέγω,V,,συλλέγω,συλλέγω,συλλέγω,συλλέγω,4816,5198,V,"I collect, gather",cv-1b(2),,,Verb
συλλογίζομαι,V,,συλλογίζομαι,συλλογίζομαι,συλλογίζομαι,συλλογίζομαι,4817,5199,V,I reason,cv-2a(1),,,Verb
συλλυπέομαι,V,,συλλυπέω,συλλυπέω,συλλυπέομαι,συλλυπέω,4818,5200,V,I am grieved,cv-1d(2a),,,Verb
συμβαίνω,V,,συμβαίνω,συμβαίνω,συμβαίνω,συμβαίνω,4819,5201,V,"I happen, occur",cv-2d(6),,,Verb
συμβάλλω,V,,συμβάλλω,συμβάλλω,συμβάλλω,συμβάλλω,4820,5202,V,"I ponder, encounter, confer or dispute with",cv-2d(1),,,Verb
συμβασιλεύω,V,,συμβασιλεύω,συμβασιλεύω,συμβασιλεύω,συμβασιλεύω,4821,5203,V,I reign together with,cv-1a(6),,,Verb
συμβιβάζω,V,,συμβιβάζω,συμβιβάζω,συμβιβάζω,συμβιβάζω,4822,5204,V,"I unite, prove, instruct",cv-2a(1),,,Verb
συμβουλεύω,V,,συμβουλεύω,συμβουλεύω,συμβουλεύω,συμβουλεύω,4823,5205,V,I give advice,cv-1a(6),,,Verb
συμβούλιον,N,"συμβούλιον, ου, τό",συμβούλιον,"συμβούλιον, ου, τό","συμβούλιον, ου, τό",συμβούλιον,4824,5206,N:N,"a council, advice",n-2c,,,Noun
σύμβουλος,N,"σύμβουλος, ου, ὁ",σύμβουλος,"σύμβουλος, ου, ὁ","σύμβουλος, ου, ὁ",σύμβουλος,4825,5207,N:M,"an adviser, counselor",n-2a,,,Noun
Συμεών,N,"Συμεών, ὁ",Συμεών,"Συμεών, ὁ","Συμεών, ὁ",Συμεών,4826,5208,N-PRI,Simeon or Simon,n-3g(2),,,Noun
συμμαθητής,N,"συμμαθητής, οῦ, ὁ",συμμαθητής,"συμμαθητής, οῦ, ὁ","συμμαθητής, οῦ, ὁ",συμμαθητής,4827,5209,N:M,a fellow-disciple,n-1f,,,Noun
συμμαρτυρέω,V,,συμμαρτυρέω,συμματυρέω,συμμαρτυρέω,συμμαρτυρέω,4828,5210,V,I bear witness together with,cv-1d(2a),,,Verb
συμμερίζομαι,V,,συμμερίζω,συμμερίζω,συμμερίζομαι,συμμερίζω,4829,5211,V,I partake with,cv-2a(1),,,Verb
συμμέτοχος,A,"συμμέτοχος, ον",συμμέτοχος,"συμμέτοχος, ον","συμμέτοχος, ον",συμμέτοχος,4830,5212,A,jointly partaking,a-3a,,,Adjective
συμμιμητής,N,"συμμιμητής, οῦ, ὁ",συμμιμητής,"συμμιμητής, οῦ, ὁ","συμμιμητής, οῦ, ὁ",συμμιμητής,4831,5213,N:M,a joint imitator,n-1f,,,Noun
συμμορφίζομαι,V,,συμμορφίζω,συμμορφίζω,,συμμορφίζω,,5214,,,cv-2a(1),,,Verb
σύμμορφος,A,"σύμμορφος, ον",σύμμορφος,"σύμμορφος, ον","σύμμορφος, ον",σύμμορφος,4832,5215,A,"similar, conformed to",a-3a,,,Adjective
συμπαθέω,V,,συμπαθέω,συμπαθέω,συμπαθέω,συμπαθέω,4834,5217,V,"I sympathize with, have compassion on",cv-1d(2a),,,Verb
συμπαθής,A,"συμπαθής, ές",συμπαθής,"συμπαθής, ές","συμπαθής, ές",συμπαθής,4835,5218,A,"sympathizing, compassionate",a-4a,,,Adjective
συμπαραγίνομαι,V,,συμπαραγίνομαι,συμπαραγίνομαι,συμπαραγίνομαι,συμπαραγίνομαι,4836,5219,V,"I come together with, help",cv-1c(2),,,Verb
συμπαρακαλέομαι,V,,συμπαρακαλέω,συμπαρακαλέω,συμπαρακαλέω,συμπαρακαλέω,4837,5220,V,"I invite, encourage along with others",cv-1d(2b),,,Verb
συμπαραλαμβάνω,V,,συμπαραλαμβάνω,συμπαραλαμβάνω,συμπαραλαμβάνω,συμπαραλαμβάνω,4838,5221,V,I take along as a companion,cv-3a(2b),,,Verb
συμπάρειμι,V,,συμπάρειμι,συμπάρειμι,συμπάρειμι,συμπάρειμι,4840,5223,V,I am present together with,cv-6a,,,Verb
συμπάσχω,V,,συμπάσχω,συμπάσχω,συμπάσχω,συμπάσχω,4841,5224,V,I suffer together with,cv-5a,,,Verb
συμπέμπω,V,,συμπέμπω,συμπέμπω,συμπέμπω,συμπέμπω,4842,5225,V,I send together with,cv-1b(1),,,Verb
συμπεριλαμβάνω,V,,συμπεριλαμβάνω,συμπεριλαμβάνω,συμπεριλαμβάνω,συμπεριλαμβάνω,4843,5227,V,I embrace completely,cv-3a(2b),,,Verb
συμπίνω,V,,συμπίνω,συμπίνω,συμπίνω,συμπίνω,4844,5228,V,I drink together with,cv-3a(1),,,Verb
συμπίπτω,V,,συμπίπτω,συμπίπτω,,συμπίπτω,,5229,,,cv-1b(3),,,Verb
